Season,Round,Race Name,Date,Time (UTC),Circuit,Location,Country
2024,6,Miami Grand Prix,2024-05-05,20:00:00Z,Miami International Autodrome,Miami,USA
2024,7,Emilia Romagna Grand Prix,2024-05-19,13:00:00Z,Autodromo Enzo e Dino Ferrari,Imola,Italy
2024,8,Monaco Grand Prix,2024-05-26,13:00:00Z,Circuit de Monaco,Monte-Carlo,Monaco
2024,9,Canadian Grand Prix,2024-06-09,18:00:00Z,Circuit Gilles Villeneuve,Montreal,Canada
2024,10,Spanish Grand Prix,2024-06-23,13:00:00Z,Circuit de Barcelona-Catalunya,Montmeló,Spain
2024,11,Austrian Grand Prix,2024-06-30,13:00:00Z,Red Bull Ring,Spielberg,Austria
2024,12,British Grand Prix,2024-07-07,14:00:00Z,Silverstone Circuit,Silverstone,UK
2024,13,Hungarian Grand Prix,2024-07-21,13:00:00Z,Hungaroring,Budapest,Hungary
2024,14,Belgian Grand Prix,2024-07-28,13:00:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2024,15,Dutch Grand Prix,2024-08-25,13:00:00Z,Circuit Park Zandvoort,Zandvoort,Netherlands
2024,16,Italian Grand Prix,2024-09-01,13:00:00Z,Autodromo Nazionale di Monza,Monza,Italy
2024,17,Azerbaijan Grand Prix,2024-09-15,11:00:00Z,Baku City Circuit,Baku,Azerbaijan
2024,18,Singapore Grand Prix,2024-09-22,12:00:00Z,Marina Bay Street Circuit,Marina Bay,Singapore
2024,19,United States Grand Prix,2024-10-20,19:00:00Z,Circuit of the Americas,Austin,USA
2024,20,Mexico City Grand Prix,2024-10-27,20:00:00Z,Autódromo Hermanos Rodríguez,Mexico City,Mexico
2024,21,São Paulo Grand Prix,2024-11-03,17:00:00Z,Autódromo José Carlos Pace,São Paulo,Brazil
2024,22,Las Vegas Grand Prix,2024-11-23,06:00:00Z,Las Vegas Strip Street Circuit,Las Vegas,United States
2024,23,Qatar Grand Prix,2024-12-01,17:00:00Z,Losail International Circuit,Al Daayen,Qatar
2024,24,Abu Dhabi Grand Prix,2024-12-08,13:00:00Z,Yas Marina Circuit,Abu Dhabi,UAE
